say	intended	class	kind	detail	guide	meaning
kafè, jek jogħġbok.	kafè, jekk jogħġbok.	accept	geminate	geminate		Coffee, please.
nofs siega.	nofs siegħa.	accept	ghajn	ghajn		Half an hour.
erġa' ghid.	erġa' għid.	accept	hkbira	hkbira		Say it again.
ilbiraħ kont għajjien.	ilbieraħ kont għajjien.	accept	ie	ie		Yesterday I was tired.
hemm spizerija hawn qrib?	hemm spiżerija hawn qrib?	accept	zeta	zeta	emm spee-ze-REE-ya awn 'REEB	Is there a pharmacy nearby?
si ħadd.	xi ħadd.	accept	xin	xin		Someone.
mingħajr zokor.	mingħajr zokkor.	accept	geminate	geminate	min-AAYR TSOK-kor	Without sugar.
hi tgix il-belt.	hi tgħix il-belt.	accept	ghajn	ghajn		She lives in Valletta.
noqghod fi tas-sliema.	noqgħod fi tas-sliema.	accept	hkbira	hkbira		I live in Sliema.
jin nitgħallem il-malti.	jien nitgħallem il-malti.	accept	ie	ie		I'm learning Maltese.
titkellem bl-ingliz?	titkellem bl-ingliż?	accept	zeta	zeta		Do you speak English?
għasar ewro.	għaxar ewro.	accept	xin	xin	AA-shar EU-ro	Ten euros.
għamilt żbal.	għamilt żball.	accept	geminate	geminate		I made a mistake.
gandek raġun.	għandek raġun.	accept	ghajn	ghajn		You're right.
irrid nitghallem il-malti.	irrid nitgħallem il-malti.	accept	hkbira	hkbira	ir-REED nit-AL-lem il-MAL-tee	I want to learn Maltese.
lima wieħed trid?	liema wieħed trid?	accept	ie	ie		Which one do you want?
mhux ħazin.	mhux ħażin.	accept	zeta	zeta		Not bad.
ħasix frisk.	ħaxix frisk.	accept	xin	xin		Fresh vegetables.
irid niġi, imma ma nistax.	irrid niġi, imma ma nistax.	accept	geminate	geminate	ir-REED NEE-jee, IM-ma ma nis-TASH	I want to come, but I can't.
erġa' gid, jekk jogħġbok.	erġa' għid, jekk jogħġbok.	accept	ghajn	ghajn		Say it again, please.
ghodwa t-tajba.	għodwa t-tajba.	accept	hkbira	hkbira	OOD-wa t-TAI-ba	Good morning.
fit-tlita.	fit-tlieta.	accept	ie	ie		At three o'clock.
raħal zgħir.	raħal żgħir.	accept	zeta	zeta		A small village.
mhus ħażin.	mhux ħażin.	accept	xin	xin		Not bad.
kolox tajjeb ħafna, grazzi.	kollox tajjeb ħafna, grazzi.	accept	geminate	geminate	KOL-losh TAI-yeb HAF-na, GRAT-tsee	Everything was very good, thanks.
insejt il-mowbajl tiegi.	insejt il-mowbajl tiegħi.	accept	ghajn	ghajn		I forgot my phone.
iftah it-tieqa.	iftaħ it-tieqa.	accept	hkbira	hkbira		Open the window.
ix-xahar id-diħel.	ix-xahar id-dieħel.	accept	ie	ie		Next month.
skuzi, ma smajtx.	skużi, ma smajtx.	accept	zeta	zeta		Sorry, I didn't hear.
fis-xitwa tagħmel ix-xita.	fix-xitwa tagħmel ix-xita.	accept	xin	xin		In winter it rains.
jien mil-awstralja.	jien mill-awstralja.	accept	geminate	geminate		I'm from Australia.
mejda gal tnejn, jekk jogħġbok.	mejda għal tnejn, jekk jogħġbok.	accept	ghajn	ghajn		A table for two, please.
il-hanut ħdejn il-knisja.	il-ħanut ħdejn il-knisja.	accept	hkbira	hkbira		The shop next to the church.
insejt il-mowbajl tigħi.	insejt il-mowbajl tiegħi.	accept	ie	ie		I forgot my phone.
jien mizżewweġ.	jien miżżewweġ.	accept	zeta	zeta		I'm married.
ġejt bies nitgħallem.	ġejt biex nitgħallem.	accept	xin	xin		I came in order to learn.
trid tiprattika miegħi?	trid tipprattika miegħi?	accept	geminate	geminate		Do you want to practise with me?
ħija jgix għawdex.	ħija jgħix għawdex.	accept	ghajn	ghajn		My brother lives in Gozo.
ghandi uġigħ ta' ras.	għandi uġigħ ta' ras.	accept	hkbira	hkbira		I have a headache.
nistennik quddim id-dar.	nistennik quddiem id-dar.	accept	ie	ie		I'll wait for you in front of the house.
nixtieq nirrizerva mejda.	nixtieq nirriżerva mejda.	accept	zeta	zeta		I'd like to book a table.
s'taħseb?	x'taħseb?	accept	xin	xin		What do you think?
irid immur issa.	irrid immur issa.	accept	geminate	geminate		I have to go now.
narak filgaxija.	narak filgħaxija.	accept	ghajn	ghajn		See you this evening.
xi hadd.	xi ħadd.	accept	hkbira	hkbira		Someone.
il-kamra tigħi żgħira.	il-kamra tiegħi żgħira.	accept	ie	ie		My room is small.
zarbun ġdid.	żarbun ġdid.	accept	zeta	zeta		New shoes.
għal si ħin?	għal xi ħin?	accept	xin	xin		For what time?
hem ħanut hemmhekk.	hemm ħanut hemmhekk.	accept	geminate	geminate		There's a shop over there.
magluq il-ħadd.	magħluq il-ħadd.	accept	ghajn	ghajn	ma-LOO' il-HADD	Closed on Sunday.
kelma wahda.	kelma waħda.	accept	hkbira	hkbira		One word.
bejn it-tnejn u t-tlita.	bejn it-tnejn u t-tlieta.	accept	ie	ie		Between two and three.
ħobz frisk.	ħobż frisk.	accept	zeta	zeta		Fresh bread.
il-bini fuq is-xellug.	il-bini fuq ix-xellug.	accept	xin	xin		The building is on the left.
trid tippratika miegħi?	trid tipprattika miegħi?	accept	geminate	geminate		Do you want to practise with me?
erġa' gid.	erġa' għid.	accept	ghajn	ghajn		Say it again.
huma jahdmu hawn.	huma jaħdmu hawn.	accept	hkbira	hkbira		They work here.
il-familja tigħi kbira.	il-familja tiegħi kbira.	accept	ie	ie		My family is big.
ħobz tal-malti.	ħobż tal-malti.	accept	zeta	zeta		Maltese bread.
si tfisser din il-kelma?	xi tfisser din il-kelma?	accept	xin	xin	shee TFIS-ser deen il-KEL-ma	What does this word mean?
fis-soda.	fis-sodda.	accept	geminate	geminate		In bed.
gandi tletin sena.	għandi tletin sena.	accept	ghajn	ghajn		I'm thirty years old.
dan ghalik.	dan għalik.	accept	hkbira	hkbira		This is for you.
norqod kmini.	norqod kmieni.	accept	ie	ie		I sleep early.
nixtri l-ħobz.	nixtri l-ħobż.	accept	zeta	zeta	NEESH-tree l-HOBZ	I buy the bread.
s'jismek?	x'jismek?	accept	xin	xin		What's your name?
kafè mingħajr zokor.	kafè mingħajr zokkor.	accept	geminate	geminate		Coffee without sugar.
dan goli wisq.	dan għoli wisq.	accept	ghajn	ghajn		This is too expensive.
kafè żghir.	kafè żgħir.	accept	hkbira	hkbira		A small coffee.
il-borża tigħi.	il-borża tiegħi.	accept	ie	ie		My bag.
il-borza tiegħi.	il-borża tiegħi.	accept	zeta	zeta		My bag.
mhus ta' b'xejn!	mhux ta' b'xejn!	accept	xin	xin		No wonder!
skużi, fejn hu	skużi, fejn hu s-suq?	reject	dropped	a word left out		Excuse me, where is the market?
kemm hu	kemm hu sabiħ!	reject	dropped	a word left out		How beautiful it is!
ħu bija.	ħu paċenzja bija.	reject	dropped	a word left out		Bear with me.
għinni, jekk	għinni, jekk jogħġbok!	reject	dropped	a word left out		Help me, please!
ħija jgħix	ħija jgħix għawdex.	reject	dropped	a word left out		My brother lives in Gozo.
ma ġejtx għax għajjien.	ma ġejtx għax kont għajjien.	reject	dropped	a word left out		I didn't come because I was tired.
il-ktieb li	il-ktieb li qrajt.	reject	dropped	a word left out		The book that I read.
nemmen li	nemmen li iva.	reject	dropped	a word left out		I believe so.
biljett wieħed, jekk	biljett wieħed, jekk jogħġbok.	reject	dropped	a word left out		One ticket, please.
għandkom xi oħra?	għandkom xi ħaġa oħra?	reject	dropped	a word left out		Do you have anything else?
skużi, hu s-suq?	skużi, fejn hu s-suq?	reject	dropped	a word left out		Excuse me, where is the market?
mur sal-pjazza.	mur dritt sal-pjazza.	reject	dropped	a word left out		Go straight to the square.
għandi uġigħ ras.	għandi uġigħ ta' ras.	reject	dropped	a word left out		I have a headache.
bogħod minn	bogħod minn hawn?	reject	dropped	a word left out		Is it far from here?
mhux ta'	mhux ta' b'xejn!	reject	dropped	a word left out		No wonder!
illum x'jum	illum x'jum hu?	reject	dropped	a word left out	il-LOOM sh'YOOM oo	What day is it today?
min hu	min hu dak?	reject	dropped	a word left out		Who is that?
aħna d-dar.	aħna mmorru d-dar.	reject	dropped	a word left out		We are going home.
oħti hi	oħti hi għalliema.	reject	dropped	a word left out		My sister is a teacher.
bejn it-tnejn u	bejn it-tnejn u t-tlieta.	reject	dropped	a word left out		Between two and three.
insejt tiegħi.	insejt il-mowbajl tiegħi.	reject	dropped	a word left out		I forgot my phone.
kemm sabiħ!	kemm hu sabiħ!	reject	dropped	a word left out		How beautiful it is!
mejda għal tnejn, jogħġbok.	mejda għal tnejn, jekk jogħġbok.	reject	dropped	a word left out		A table for two, please.
il-familja kbira.	il-familja tiegħi kbira.	reject	dropped	a word left out		My family is big.
insejt il-mowbajl	insejt il-mowbajl tiegħi.	reject	dropped	a word left out		I forgot my phone.
xi tagħmel illejla?	xi trid tagħmel illejla?	reject	dropped	a word left out		What do you want to do tonight?
mejda għal	mejda għal tnejn.	reject	dropped	a word left out		A table for two.
x'ħin ix-xarabank?	x'ħin jitlaq ix-xarabank?	reject	dropped	a word left out		What time does the bus leave?
tini l-melħ, jekk	tini l-melħ, jekk jogħġbok.	reject	dropped	a word left out		Pass me the salt, please.
sellili għal	sellili għal ommok.	reject	dropped	a word left out		Say hi to your mother.
il-ktieb fuq	il-ktieb fuq il-mejda.	reject	dropped	a word left out		The book on the table.
kafè, jogħġbok.	kafè, jekk jogħġbok.	reject	dropped	a word left out		Coffee, please.
hemm kbira.	hemm sħana kbira.	reject	dropped	a word left out		It's very hot.
nista' bil-karta?	nista' nħallas bil-karta?	reject	dropped	a word left out		Can I pay by card?
kif ngħid dan	kif ngħid dan sew?	reject	dropped	a word left out		How do I say this correctly?
dur il-lemin.	dur lejn il-lemin.	reject	dropped	a word left out		Turn right.
kemm żmien?	kemm għandek żmien?	reject	dropped	a word left out		How old are you?
xi tfisser din	xi tfisser din il-kelma?	reject	dropped	a word left out	shee TFIS-ser deen il-KEL-ma	What does this word mean?
fis-sajf nagħmlu	fis-sajf nagħmlu l-baħar.	reject	dropped	a word left out		In summer we go swimming.
it-triq ħdejn	it-triq ħdejn il-baħar.	reject	dropped	a word left out		The road by the sea.
nista' ngħinek?	tinkwetax.	reject	other	a different line from the deck		Can I help you?
x'inhu l-prezz?	nifhem ftit.	reject	other	a different line from the deck	shee-NOO l-PRETS	What's the price?
ristorant tajjeb ħdejn hawn?	ninsab tajjeb.	reject	other	a different line from the deck		A good restaurant near here?
l-istess ħaġa.	fit-tlieta.	reject	other	a different line from the deck		The same thing.
wieħed biss.	ġejt minn għawdex.	reject	other	a different line from the deck		Only one.
te bil-lumi.	ma nifhimx.	reject	other	a different line from the deck		Tea with lemon.
x'taħseb?	orrajt, sew.	reject	other	a different line from the deck		What do you think?
noqgħod fi tas-sliema.	nista' ngħinek?	reject	other	a different line from the deck		I live in Sliema.
ħafna nies.	x'inhu l-prezz?	reject	other	a different line from the deck		Many people.
it-tfal fl-iskola.	ristorant tajjeb ħdejn hawn?	reject	other	a different line from the deck		The children are at school.
nurik it-triq.	l-istess ħaġa.	reject	other	a different line from the deck		I'll show you the way.
sa mbagħad!	wieħed biss.	reject	other	a different line from the deck		See you later!
x'taħdem?	te bil-lumi.	reject	other	a different line from the deck		What do you do for work?
erbgħa min-nies.	x'taħseb?	reject	other	a different line from the deck		Four people.
għandi uġigħ ta' ras.	noqgħod fi tas-sliema.	reject	other	a different line from the deck		I have a headache.
nqum fis-sitta.	ħafna nies.	reject	other	a different line from the deck	n'OOM fis-SIT-ta	I get up at six.
insuq bil-mod.	it-tfal fl-iskola.	reject	other	a different line from the deck		I drive slowly.
kull jum.	nurik it-triq.	reject	other	a different line from the deck		Every day.
nistennik quddiem id-dar.	sa mbagħad!	reject	other	a different line from the deck		I'll wait for you in front of the house.
xi ħadd.	x'taħdem?	reject	other	a different line from the deck		Someone.
in-nanna tagħmel il-pastizzi.	erbgħa min-nies.	reject	other	a different line from the deck	in-NAN-na TAA-mel il-pas-TIT-tsee	Grandma makes pastizzi.
nixtri l-ħobż.	għandi uġigħ ta' ras.	reject	other	a different line from the deck	NEESH-tree l-HOBZ	I buy the bread.
inwieġeb dalwaqt.	nqum fis-sitta.	reject	other	a different line from the deck		I'll answer soon.
hi tgħix il-belt.	insuq bil-mod.	reject	other	a different line from the deck		She lives in Valletta.
xejn, grazzi.	kull jum.	reject	other	a different line from the deck		Nothing, thanks.
qed tagħmel ix-xita.	nistennik quddiem id-dar.	reject	other	a different line from the deck		It's raining.
il-malti diffiċli!	xi ħadd.	reject	other	a different line from the deck		Maltese is difficult!
niġri kuljum.	in-nanna tagħmel il-pastizzi.	reject	other	a different line from the deck		I run every day.
għaxar ewro.	nixtri l-ħobż.	reject	other	a different line from the deck	AA-shar EU-ro	Ten euros.
ibni għandu ħames snin.	inwieġeb dalwaqt.	reject	other	a different line from the deck		My son is five.
min hu dak?	hi tgħix il-belt.	reject	other	a different line from the deck		Who is that?
qmis bajda.	xejn, grazzi.	reject	other	a different line from the deck		A white shirt.
nimxi sal-baħar.	qed tagħmel ix-xita.	reject	other	a different line from the deck		I walk to the sea.
noħroġ mal-ħbieb.	il-malti diffiċli!	reject	other	a different line from the deck	NOH-roj mal-HBEE-eb	I go out with friends.
m'għandix ħin.	niġri kuljum.	reject	other	a different line from the deck		I don't have time.
fejn iċ-ċavetta?	għaxar ewro.	reject	other	a different line from the deck		Where's the key?
kamra nadifa.	ibni għandu ħames snin.	reject	other	a different line from the deck		A clean room.
sebat ijiem.	min hu dak?	reject	other	a different line from the deck		Seven days.
darba fil-ġimgħa.	qmis bajda.	reject	other	a different line from the deck		Once a week.
il-baħar kalm illum.	nimxi sal-baħar.	reject	other	a different line from the deck		The sea is calm today.
