# PROPOSAL ONLY — frequency is not the same as usefulness.
# `jekk jogħġbok` is rare in print and essential in a café; keep it tier 1.
id	mt	en	tier_now	tier_proposed	corpus_rank
v283	nogħdos	I swim	3	4	
v284	nsuq	I drive	3	4	
v285	nivvjaġġa	I travel	3	4	
v286	nasal	I arrive	3	4	
v287	nitlaq	I leave	3	4	
v288	nidħol	I enter	3	4	
v289	noħroġ	I go out	3	4	
v290	nibgħat	I send	3	4	
v291	nġib	I bring	3	4	
v292	nuri	I show	3	4	
v293	nispjega	I explain	3	4	
v294	nirrepeti	I repeat	3	4	
v295	nipprova	I try	3	4	
v296	nemmen	I believe	3	4	
v297	nixtieq nkun naf	I'd like to know	3	4	
v298	nirringrazzja	I thank	3	4	
v299	niddispjaċini	I'm sorry	3	4	
v300	nifraħ	I'm glad	3	4	
v301	dawl	light	3	2	962
v302	ċavetta	key	3	4	
v303	borża	bag	3	4	4446
v305	qmis	shirt	3	4	
v306	żarbun	shoes	3	4	
v308	prezz	price	3	4	4693
v310	kbir wisq	too big	3	1	178
v311	ieħor	another (m)	3	1	224
v312	stess	same / self	3	2	427
v313	kull	every	3	1	100
v314	kuljum	every day	3	2	898
v315	xi	some / a	3	1	61
v316	bosta	many	3	1	163
v317	nies	people	3	1	136
v318	post	place	3	1	106
v319	naħa	side / area	3	1	194
v322	dritt	straight	3	2	1084
v323	qrib	near	3	1	200
v324	bogħod	far	3	2	882
v326	mur	go (imperative)	3	4	
v327	ejja	come (imperative)	3	2	1197
v328	ħu	take (imperative)	3	1	68
v329	agħti	give (imperative)	3	4	
v330	oqgħod	stay / sit (imperative)	3	4	
v331	ara	look (imperative)	3	2	987
v332	isma'	listen (imperative)	3	4	
v333	erġa'	again (do again)	3	4	
v334	ftakar	remember (imperative)	3	4	
v335	skużi	excuse me	3	4	
v336	grazzi	thank you	3	2	830
v337	jekk jogħġbok	please	3	1	209
v338	prego	you're welcome	3	4	
v339	mela	of course / well then	3	4	
v340	orrajt	all right	3	4	
v342	żgur	sure / certainly	3	4	4711
v343	dalwaqt	soon	3	4	
v344	għadni	I still am	3	4	
v345	diġà	already	3	2	547
v346	aktar	more	3	1	45
v347	inqas	less	3	1	244
v348	l-aħjar	the best	3	4	
v349	l-agħar	the worst	3	4	
v350	bħal	like / as	3	1	137
